$ python3 -c "
import re

with open('.reasonix/reference/dme-api-reference.md', 'r', encoding='utf-8') as f:
    lines = f.readlines()

# Find all URI lines and their context
# We'll track the current section heading and find descriptions
results = []
current_section = ''
current_subsection = ''

for i, line in enumerate(lines):
    # Track section headings
    m = re.match(r'^(#{2,4})\s+(.+)$', line)
    if m:
        level = len(m.group(1))
        title = m.group(2).strip()
        if level == 2:
            current_section = title
            current_subsection = ''
        elif level == 3:
            current_subsection = title
        elif level == 4:
            current_subsection = title
    
    # Find URI lines
    m = re.match(r'.*\- \*\*URI\*\*:\s*(/.*)$', line)
    if m:
        uri = m.group(1).strip()
        # Find the '描述' (description) - it's usually in the lines above the URI
        # Scan backward from current line to find the most recent **描述** line
        desc = ''
        for j in range(i-1, max(0, i-20), -1):
            dm = re.match(r'\*\*描述\*\*\s*$', lines[j])
            if dm:
                # The description is the next non-empty line
                for k in range(j+1, min(j+5, len(lines))):
                    if lines[k].strip():
                        desc = lines[k].strip()
                        break
                break
        
        # Find the section heading - scan backward
        section_heading = ''
        for j in range(i-1, max(0, i-50), -1):
            hm = re.match(r'^(#{2,4})\s+(.+)$', lines[j])
            if hm:
                section_heading = hm.group(2).strip()
                break
        
        results.append((uri, section_heading, desc, i+1))

for uri, section, desc, line in results:
    print(f'L{line}: URI={uri} | Section={section} | Desc={desc}')
L8780: URI=/rest/vmmgmt/v1/sites/{id} | Section=查询指定虚拟化站点 | Desc=查询指定虚拟化站点
L8836: URI=/rest/vmmgmt/v1/clusters/query | Section=查询虚拟化集群列表 | Desc=查询虚拟化集群列表，华为云平台场景（vr\_type为HCS）不支持此接口。
L8914: URI=/rest/vmmgmt/v1/clusters/{id} | Section=查询指定虚拟化集群信息 | Desc=查询指定虚拟化集群信息，华为云平台场景（vr\_type为HCS）不支持此接口。
L8974: URI=/rest/vmmgmt/v1/hosts/query | Section=查询虚拟化宿主机列表 | Desc=查询虚拟化宿主机列表
L9069: URI=/rest/vmmgmt/v1/hosts/{id} | Section=查询指定虚拟化宿主机信息 | Desc=查询指定虚拟化宿主机信息
L9138: URI=/rest/vmmgmt/v1/hosts/{id}/storage-adapters | Section=查询指定主机存储适配器列表 | Desc=查询指定主机存储适配器列表
L9184: URI=/rest/vmmgmt/v1/vdisks/pdisks | Section=查询物理盘信息 | Desc=查询物理盘信息。
L9256: URI=/rest/vmmgmt/v1/vms/query | Section=查询虚拟机列表 | Desc=查询虚拟机列表，根据数据存储ID（datastore\_id）过滤时，其他根据ID过滤的功能将会失效
L9431: URI=/rest/vmmgmt/v1/vms/{id} | Section=查询指定虚拟机 | Desc=查询指定虚拟机
L9583: URI=/rest/vmmgmt/v1/vdisks/query | Section=查询虚拟磁盘信息列表 | Desc=支持按虚拟机维度或数据存储维度查看虚拟磁盘信息列表。
L9671: URI=/rest/vmmgmt/v1/vdisks/{id} | Section=查询指定虚拟磁盘信息 | Desc=查询指定虚拟磁盘信息。
L9733: URI=/rest/vmmgmt/v1/datastores/query | Section=查询数据存储列表 | Desc=查询数据存储列表，华为云平台场景（vr\_type为HCS）不支持此接口。
L9819: URI=/rest/vmmgmt/v1/datastores/{id} | Section=查询数据存储信息 | Desc=查询数据存储信息，华为云平台场景（vr\_type为HCS）不支持此接口。
L9887: URI=/rest/dcmgmt/dcmgmtservice/v1/datacenters/query | Section=获取数据中心列表 | Desc=获取数据中心列表。
L9952: URI=/rest/dcmgmt/dcmgmtservice/v1/datacenters/devices/query | Section=查询指定数据中心的设备列表信息 | Desc=查询指定数据中心的设备列表信息。
L10017: URI=/rest/dcmgmt/dcmgmtservice/v1/datacenters/{dc_id} | Section=获取数据中心详情 | Desc=获取数据中心详情。
L10083: URI=/rest/dmebackupsoftmgmtservice/v1/clusters/query | Section=查询备份集群列表 | Desc=查询备份集群列表
L10130: URI=/rest/dmebackupsoftmgmtservice/v1/clusters/{cluster_id}/capacity | Section=查询备份集群容量 | Desc=查询备份集群容量
L10167: URI=/rest/dmebackupsoftmgmtservice/v1/clusters/{cluster_id}/tenant-quotas/query | Section=查询备份集群租户配额列表 | Desc=查询备份集群租户配额列表
L10219: URI=/rest/dmecaasmgmt/v1/pvcs/query-list | Section=查询容器持久卷声明列表 | Desc=查询容器持久卷声明列表。DME暂不支持容器平台，涉及容器平台的概念请忽略。
L10298: URI=/rest/dmecaasmgmt/v1/namespaces/query-list | Section=查询容器命名空间列表 | Desc=查询容器命名空间列表。
L10359: URI=/rest/dmecaasmgmt/v1/clusters/query-list | Section=查询容器集群列表 | Desc=查询容器集群列表。DME暂未支持容器平台，涉及容器平台的概念请忽略。
L10433: URI=/rest/dmecaasmgmt/v1/pvs/query-list | Section=查询容器持久卷列表 | Desc=查询容器持久卷列表。DME暂不支持容器平台，涉及容器平台的概念请忽略。
L10511: URI=/rest/dmecaasmgmt/v1/pods/query-list | Section=查询容器组列表 | Desc=查询容器组列表。DME暂不支持容器平台，涉及容器平台的概念请忽略。
L10598: URI=/rest/dmecaasmgmt/v1/nodes/query-list | Section=查询容器节点列表 | Desc=查询容器节点列表。DME暂不支持节点池，涉及节点池的概念请忽略。
L10679: URI=/rest/projectmgmt/v1/projects | Section=批量查询业务群组 | Desc=批量查询可用分区
L10729: URI=/rest/service-policy/v1/service-levels/projects/relations | Section=批量查询业务群组与服务等级关联关系 | Desc=批量查询业务群组与服务等级关联关系。
L10780: URI=/rest/service-policy/v1/service-levels | Section=批量查询服务等级 | Desc=批量查询服务等级。
L10901: URI=/rest/storagepolicy/v1/qos | Section=创建QoS策略 | Desc=创建QoS策略。
L10983: URI=/rest/storagepolicy/v1/qos/delete | Section=删除QoS策略 | Desc=删除QoS策略。 >![](public_sys-resources/icon-notice.gif) **须知：** >该API可能会直接或间接影响现网业务运行，导致业务中断、关键数据丢失等，请谨慎操作。
L11018: URI=/rest/storagepolicy/v1/qos/{id} | Section=修改QoS策略 | Desc=修改QoS策略。
L11096: URI=/rest/storagepolicy/v1/qos/query | Section=批量查询QoS策略 | Desc=批量查询QoS策略。
L11211: URI=/rest/storagepolicy/v1/qos/{id}/detail | Section=查询指定QoS策略详情 | Desc=查询指定QoS策略详情。
L11305: URI=/rest/storagepolicy/v1/qos/active | Section=批量激活QoS策略 | Desc=批量激活QoS策略。 >![](public_sys-resources/icon-notice.gif) **须知：** >该API可能会直接或间接影响现网业务运行，导致业务中断、关键数据丢失等，请谨慎操作。
L11340: URI=/rest/storagepolicy/v1/qos/inactive | Section=批量取消激活QoS策略 | Desc=批量取消激活QoS策略。 >![](public_sys-resources/icon-notice.gif) **须知：** >该API可能会直接或间接影响现网业务运行，导致业务中断、关键数据丢失等，请谨慎操作。
L11375: URI=/rest/storagepolicy/v1/qos/{id}/resources/associate | Section=QoS策略关联控制资源 | Desc=QoS策略关联控制资源。
L11413: URI=/rest/storagepolicy/v1/qos/{id}/resources/unassociate | Section=QoS策略解关联控制资源 | Desc=QoS策略解关联控制资源。
L11455: URI=/rest/hostmgmt/v1/hosts | Section=接入物理主机 | Desc=提供接入物理主机、添加逻辑主机等。
L11520: URI=/rest/hostmgmt/v1/hosts/{host_id}/general | Section=修改物理主机基本信息 | Desc=修改物理主机基本信息。当前只支持修改接入模式为NONE（手动录入）的主机。
L11559: URI=/rest/hostmgmt/v1/hosts/summary | Section=批量查询物理主机 | Desc=批量查询物理主机。
L11644: URI=/rest/hostmgmt/v1/hosts/{host_id}/summary | Section=查询指定物理主机 | Desc=查询指定物理主机。
L11721: URI=/rest/hostmgmt/v1/connectivity/host-and-storage | Section=检测存储设备和物理主机连通性 | Desc=检测存储设备和物理主机之间连通性
L11773: URI=/rest/hostmgmt/v1/host-keys | Section=保存指定物理主机SSH公钥 | Desc=接入物理主机时，根据物理主机SSH公钥信息确认为信任主机后，需要保存物理主机的SSH公钥，以确保在后续通信中检测通信物理主机的身份是否合法。只有接入物理主机场景下才需要进行主机SSH公钥保存。
L11808: URI=/rest/hostmgmt/v1/host-keys | Section=查询指定物理主机SSH公钥 | Desc=查询指定物理主机SSH公钥。只有接入物理主机场景下才需要进行主机SSH公钥查询。
L11855: URI=/rest/hostmgmt/v1/hostgroups/{hostgroup_id}/general | Section=修改物理主机组基本信息 | Desc=修改主机组基本信息。
L11893: URI=/rest/hostmgmt/v1/hosts/{host_id}/accessinfo | Section=修改物理主机接入信息 | Desc=修改物理主机接入信息。如果当前主机接入模式为NONE（手动录入）接入，修改后接入模式改为ACCOUNT（账号密码）接入。
L11949: URI=/rest/hostmgmt/v1/hosts/{host_id}/initiators/add | Section=为物理主机添加启动器 | Desc=为物理主机添加启动器。仅支持为接入方式为NONE的主机增加启动器。
